node_id,from_zone,to_zone,target_node
26057116,1,0,1126640615
26057125,0,2,26057304
30227391,1,2,30227391
30227468,1,2,30884331
30237587,2,3,30246777
30237588,3,2,30237587
30237643,3,2,30237701
30237700,3,2,30237701
30238005,3,2,30243365
30238006,2,3,30238005
30238023,3,2,30243365
30242864,3,0,30243053
30243053,0,3,30242864
30243115,0,3,1487126963
30243205,3,0,126803357
30243206,0,3,1124790711
30243261,3,0,30243262
30248297,1,2,30248296
30248300,2,1,30248300
30248310,2,1,30238385
30248312,1,2,30248300
30254224,3,0,10182235280
30254228,0,1,11178765233
30558454,3,0,30333313
779227747,1,2,1400544019
30884331,2,1,2501123851
33098963,0,3,30254224
71643529,2,0,1400448338
112382699,2,1,26057116
126797987,0,3,126797986
168491440,2,1,4834501706
30238383,2,1,779227747
192068604,1,2,5306386378
243336646,0,1,30244001
30244000,1,0,3184350843
243347086,0,1,30244000
301572132,0,3,301572243
301573106,3,2,4719409243
301573106,3,0,301573130
364996615,2,1,427955428
427955428,1,2,364996615
427959729,1,2,1912571839
437132969,0,1,3417299048
442540235,0,3,442540236
442540236,3,0,10182235282
442540253,3,0,442540254
442540254,0,3,301572243
442540293,0,3,1124790711
559765972,2,0,11466476299
1009334217,1,2,6833338778
1126848499,3,0,1126848522
1589583429,2,3,6842012554
1912571839,2,1,427959729
2264456435,2,1,4834501706
2501123851,1,2,30227390
3417299048,1,0,243748972
30244001,1,0,243336865
4397169303,2,1,779227747
4834501661,2,1,30238385
4834501706,1,2,2264456435
6086753445,0,3,1311619424
6842012554,3,2,30238021
7515360148,3,0,30243262
8201874133,2,0,1126640615
10181609591,3,2,4719409243
10182303351,0,3,30243261
10182303354,0,3,1126848499
10770844049,3,0,126803357
30238021,2,3,10896052335
11053219722,2,3,11061736176
11053219723,2,3,30237643
12516839218,3,2,30248549
